"";"id";"name";"text";"power";"toughness";"manaCost";"convertedManaCost";"specificManaCost";"colorIdentity";"type1";"type2"
"4985";11269;"Nimble Innovator";"When Nimble Innovator enters the battlefield, draw a card.";"2";"2";"{3}{U}";4;1;"U";"Creature";"Vedalken Artificer"
"4986";11270;"Nimble Mongoose";"Shroud (This creature can't be the target of spells or abilities.)
Threshold — Nimble Mongoose gets +2/+2 as long as seven or more cards are in your graveyard.";"1";"1";"{G}";1;1;"G";"Creature";"Mongoose"
"4987";11271;"Nimble Obstructionist";"Flash
Flying
Cycling {2}{U} ({2}{U}, Discard this card: Draw a card.)
When you cycle Nimble Obstructionist, counter target activated or triggered ability you don't control.";"3";"1";"{2}{U}";3;1;"U";"Creature";"Bird Wizard"
"4988";11272;"Nimble Pilferer";"Flash";"2";"1";"{1}{B}";2;1;"B";"Creature";"Human Rogue"
"4989";11273;"Nimble-Blade Khenra";"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)";"1";"3";"{1}{R}";2;1;"R";"Creature";"Jackal Warrior"
"4990";11274;"Nimbus Champion";"Flying
Whenever Nimbus Champion attacks, you may return target creature to its owner's hand if that creature's power is less than or equal to the number of Warriors your team controls.";"4";"4";"{5}{U}";6;1;"U";"Creature";"Avatar Warrior"
"4991";11277;"Nimbus Swimmer";"Flying
Nimbus Swimmer enters the battlefield with X +1/+1 counters on it.";"0";"0";"{X}{G}{U}";2;2;"G";"Creature";"Leviathan"
"4992";11279;"Nimbus of the Isles";"Flying (This creature can't be blocked except by creatures with flying or reach.)";"3";"3";"{4}{U}";5;1;"U";"Creature";"Elemental"
"4993";11282;"Nine-Tail White Fox";"Whenever Nine-Tail White Fox deals combat damage to a player, draw a card.";"2";"2";"{2}{U}";3;1;"U";"Creature";"Fox Spirit"
"4995";11284;"Ninja of the Deep Hours";"Ninjutsu {1}{U} ({1}{U}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Whenever Ninja of the Deep Hours deals combat damage to a player, you may draw a card.";"2";"2";"{3}{U}";4;1;"U";"Creature";"Human Ninja"
"4996";11285;"Ninth Bridge Patrol";"Whenever another creature you control leaves the battlefield, put a +1/+1 counter on Ninth Bridge Patrol.";"1";"1";"{1}{W}";2;1;"W";"Creature";"Dwarf Soldier"
"4997";11286;"Nip Gwyllion";"Lifelink (Damage dealt by this creature also causes you to gain that much life.)";"1";"1";"{W/B}";1;1;"B";"Creature";"Hag"
"4998";11288;"Nirkana Assassin";"Whenever you gain life, Nirkana Assassin gains deathtouch until end of turn. (Any amount of damage it deals to a creature is enough to destroy it.)";"2";"3";"{2}{B}";3;1;"B";"Creature";"Vampire Assassin Ally"
"5000";11290;"Nirkana Revenant";"Whenever you tap a Swamp for mana, add an additional {B}.
{B}: Nirkana Revenant gets +1/+1 until end of turn.";"4";"4";"{4}{B}{B}";6;2;"B";"Creature";"Vampire Shade"
"5001";11292;"Nissa's Chosen";"If Nissa's Chosen would die, put it on the bottom of its owner's library instead.";"2";"3";"{G}{G}";2;2;"G";"Creature";"Elf Warrior"
"5002";11312;"Nivix Barrier";"Flash (You may cast this spell any time you could cast an instant.)
Defender (This creature can't attack.)
When Nivix Barrier enters the battlefield, target attacking creature gets -4/-0 until end of turn.";"0";"4";"{3}{U}";4;1;"U";"Creature";"Illusion Wall"
"5003";11313;"Nivix Cyclops";"Defender
Whenever you cast an instant or sorcery spell, Nivix Cyclops gets +3/+0 until end of turn and can attack this turn as though it didn't have defender.";"1";"4";"{1}{U}{R}";3;2;"R";"Creature";"Cyclops"
"5004";11314;"Nivix Guildmage";"{1}{U}{R}: Draw a card, then discard a card.
{2}{U}{R}: Copy target instant or sorcery spell you control. You may choose new targets for the copy.";"2";"2";"{U}{R}";2;2;"R";"Creature";"Human Wizard"
"5005";11316;"Nivmagus Elemental";"Exile an instant or sorcery spell you control: Put two +1/+1 counters on Nivmagus Elemental. (That spell won't resolve.)";"1";"2";"{U/R}";1;1;"R";"Creature";"Elemental"
"5006";11323;"Nobilis of War";"Flying
Attacking creatures you control get +2/+0.";"3";"4";"{R/W}{R/W}{R/W}{R/W}{R/W}";5;5;"R";"Creature";"Spirit Avatar"
"5007";11324;"Noble Banneret";"Draft Noble Banneret face up.
As you draft a creature card, you may reveal it, note its name, then turn Noble Banneret face down.
As long as you control one or more creatures with a name you noted for cards named Noble Banneret, Noble Banneret and those creatures get +1/+1 and have lifelink.";"3";"3";"{2}{W}{W}";4;2;"W";"Creature";"Human Knight"
"5008";11325;"Noble Benefactor";"When Noble Benefactor dies, each player may search their library for a card and put that card into their hand. Then each player who searched their library this way shuffles it.";"2";"2";"{2}{U}";3;1;"U";"Creature";"Human Cleric"
"5009";11326;"Noble Elephant";"Trample; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)";"2";"2";"{3}{W}";4;1;"W";"Creature";"Elephant"
"5010";11327;"Noble Hierarch";"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)
{T}: Add {G}, {W}, or {U}.";"0";"1";"{G}";1;1;"G";"Creature";"Human Druid"
"5011";11328;"Noble Panther";"{1}: Noble Panther gains first strike until end of turn.";"3";"3";"{1}{G}{W}";3;2;"G";"Creature";"Cat"
"5012";11333;"Noble Templar";"Vigilance
Plainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle your library.)";"3";"6";"{5}{W}";6;1;"W";"Creature";"Human Cleric Soldier"
"5013";11334;"Noble Vestige";"Flying
{T}: Prevent the next 1 damage that would be dealt to target player or planeswalker this turn.";"1";"2";"{2}{W}";3;1;"W";"Creature";"Spirit"
"5014";11338;"Noggle Bandit";"Noggle Bandit can't be blocked except by creatures with defender.";"2";"2";"{1}{U/R}{U/R}";3;2;"R";"Creature";"Noggle Rogue"
"5015";11339;"Noggle Bridgebreaker";"When Noggle Bridgebreaker enters the battlefield, return a land you control to its owner's hand.";"4";"3";"{2}{U/R}{U/R}";4;2;"R";"Creature";"Noggle Rogue"
"5016";11340;"Noggle Hedge-Mage";"When Noggle Hedge-Mage enters the battlefield, if you control two or more Islands, you may tap two target permanents.
When Noggle Hedge-Mage enters the battlefield, if you control two or more Mountains, you may have Noggle Hedge-Mage deal 2 damage to target player or planeswalker.";"2";"2";"{2}{U/R}";3;1;"R";"Creature";"Noggle Wizard"
"5017";11341;"Noggle Ransacker";"When Noggle Ransacker enters the battlefield, each player draws two cards, then discards a card at random.";"2";"1";"{2}{U/R}";3;1;"R";"Creature";"Noggle Rogue"
"5018";11342;"Nomad Decoy";"{W}, {T}: Tap target creature.
Threshold — {W}{W}, {T}: Tap two target creatures. Activate this ability only if seven or more cards are in your graveyard.";"1";"2";"{2}{W}";3;1;"W";"Creature";"Human Nomad"
"5019";11343;"Nomad Mythmaker";"{W}, {T}: Put target Aura card from a graveyard onto the battlefield under your control attached to a creature you control.";"2";"2";"{2}{W}";3;1;"W";"Creature";"Human Nomad Cleric"
"5020";11346;"Nomadic Elf";"{1}{G}: Add one mana of any color.";"2";"2";"{1}{G}";2;1;"G";"Creature";"Elf Nomad"
"5021";11347;"Nomads en-Kor";"{0}: The next 1 damage that would be dealt to Nomads en-Kor this turn is dealt to target creature you control instead.";"1";"1";"{W}";1;1;"W";"Creature";"Kor Nomad Soldier"
"5022";11349;"Noose Constrictor";"Reach
Discard a card: Noose Constrictor gets +1/+1 until end of turn.";"2";"2";"{1}{G}";2;1;"G";"Creature";"Snake"
"5023";11350;"Noosegraf Mob";"Noosegraf Mob enters the battlefield with five +1/+1 counters on it.
Whenever a player casts a spell, remove a +1/+1 counter from Noosegraf Mob. If you do, create a 2/2 black Zombie creature token.";"0";"0";"{4}{B}{B}";6;2;"B";"Creature";"Zombie"
"5024";11354;"Norritt";"{T}: Untap target blue creature.
{T}: Choose target non-Wall creature the active player has controlled continuously since the beginning of the turn. That creature attacks this turn if able. Destroy it at the beginning of the next end step if it didn't attack this turn. Activate this ability only before attackers are declared.";"1";"1";"{3}{B}";4;1;"B";"Creature";"Imp"
"5025";11356;"Northern Paladin";"{W}{W}, {T}: Destroy target black permanent.";"3";"3";"{2}{W}{W}";4;2;"W";"Creature";"Human Knight"
"5026";11357;"Norwood Archers";"Reach (This creature can block creatures with flying.)";"3";"3";"{3}{G}";4;1;"G";"Creature";"Elf Archer"
"5027";11358;"Norwood Priestess";"{T}: You may put a green creature card from your hand onto the battlefield. Activate this ability only during your turn, before attackers are declared.";"1";"1";"{2}{G}{G}";4;2;"G";"Creature";"Elf Druid"
"5028";11359;"Norwood Ranger";"";"1";"2";"{G}";1;1;"G";"Creature";"Elf Scout"
"5029";11360;"Norwood Riders";"Norwood Riders can't be blocked by more than one creature.";"3";"3";"{3}{G}";4;1;"G";"Creature";"Elf"
"5030";11361;"Norwood Warrior";"Whenever Norwood Warrior becomes blocked, it gets +1/+1 until end of turn.";"2";"2";"{2}{G}";3;1;"G";"Creature";"Elf Warrior"
"5031";11363;"Nosy Goblin";"{T}, Sacrifice Nosy Goblin: Destroy target face-down creature.";"2";"1";"{2}{R}";3;1;"R";"Creature";"Goblin"
"5032";11368;"Notion Thief";"Flash
If an opponent would draw a card except the first one they draw in each of their draw steps, instead that player skips that draw and you draw a card.";"3";"1";"{2}{U}{B}";4;2;"B";"Creature";"Human Rogue"
"5033";11369;"Notorious Assassin";"{2}{B}, {T}, Discard a card: Destroy target nonblack creature. It can't be regenerated.";"2";"2";"{3}{B}";4;1;"B";"Creature";"Human Spellshaper Assassin"
"5034";11373;"Nova Chaser";"Trample
Champion an Elemental (When this enters the battlefield, sacrifice it unless you exile another Elemental you control. When this leaves the battlefield, that card returns to the battlefield.)";"10";"2";"{3}{R}";4;1;"R";"Creature";"Elemental Warrior"
"5035";11374;"Nova Cleric";"{2}{W}, {T}, Sacrifice Nova Cleric: Destroy all enchantments.";"1";"2";"{W}";1;1;"W";"Creature";"Human Cleric"
"5036";11376;"Novablast Wurm";"Whenever Novablast Wurm attacks, destroy all other creatures.";"7";"7";"{3}{G}{G}{W}{W}";7;4;"G";"Creature";"Wurm"
"5037";11377;"Novellamental";"Flying
Novellamental can block only creatures with flying.";"2";"1";"{1}{U}";2;1;"U";"Creature";"Elemental"
"5038";11378;"Novellamental (b)";"Flying
Novellamental can block only creatures with flying.";"2";"1";"{1}{U}";2;1;"U";"Creature";"Elemental"
"5039";11379;"Novellamental (c)";"Flying
Novellamental can block only creatures with flying.";"2";"1";"{1}{U}";2;1;"U";"Creature";"Elemental"
"5040";11380;"Novellamental (d)";"Flying
Novellamental can block only creatures with flying.";"2";"1";"{1}{U}";2;1;"U";"Creature";"Elemental"
"5041";11381;"Novice Knight";"Defender (This creature can't attack.)
As long as Novice Knight is enchanted or equipped, it can attack as though it didn't have defender.";"2";"3";"{W}";1;1;"W";"Creature";"Human Knight"
"5042";11382;"Novijen Sages";"Graft 4 (This creature enters the battlefield with four +1/+1 counters on it. Whenever another creature enters the battlefield, you may move a +1/+1 counter from this creature onto it.)
{1}, Remove two +1/+1 counters from among creatures you control: Draw a card.";"0";"0";"{4}{U}{U}";6;2;"U";"Creature";"Human Advisor Mutant"
"5043";11385;"Noxious Dragon";"Flying
When Noxious Dragon dies, you may destroy target creature with converted mana cost 3 or less.";"4";"4";"{4}{B}{B}";6;2;"B";"Creature";"Dragon"
"5044";11388;"Noxious Ghoul";"Whenever Noxious Ghoul or another Zombie enters the battlefield, all non-Zombie creatures get -1/-1 until end of turn.";"3";"3";"{3}{B}{B}";5;2;"B";"Creature";"Zombie"
"5045";11389;"Noxious Groodion";"Deathtouch";"2";"2";"{2}{B}";3;1;"B";"Creature";"Beast"
"5046";11390;"Noxious Hatchling";"Noxious Hatchling enters the battlefield with four -1/-1 counters on it.
Wither (This deals damage to creatures in the form of -1/-1 counters.)
Whenever you cast a black spell, remove a -1/-1 counter from Noxious Hatchling.
Whenever you cast a green spell, remove a -1/-1 counter from Noxious Hatchling.";"6";"6";"{3}{B/G}";4;1;"B";"Creature";"Elemental"
"5047";11393;"Noxious Toad";"When Noxious Toad dies, each opponent discards a card.";"1";"1";"{2}{B}";3;1;"B";"Creature";"Frog"
"5048";11396;"Nucklavee";"When Nucklavee enters the battlefield, you may return target red sorcery card from your graveyard to your hand.
When Nucklavee enters the battlefield, you may return target blue instant card from your graveyard to your hand.";"4";"4";"{4}{U/R}{U/R}";6;2;"R";"Creature";"Beast"
"5049";11399;"Null Caller";"{3}{B}, Exile a creature card from your graveyard: Create a tapped 2/2 black Zombie creature token.";"2";"4";"{3}{B}";4;1;"B";"Creature";"Vampire Shaman"
"5051";11404;"Nullhide Ferox";"Hexproof
You can't cast noncreature spells.
{2}: Nullhide Ferox loses all abilities until end of turn. Any player may activate this ability.
If a spell or ability an opponent controls causes you to discard Nullhide Ferox, put it onto the battlefield instead of putting it into your graveyard.";"6";"6";"{2}{G}{G}";4;2;"G";"Creature";"Beast"
"5052";11406;"Nullmage Advocate";"{T}: Return two target cards from an opponent's graveyard to their hand. Destroy target artifact or enchantment.";"2";"3";"{2}{G}";3;1;"G";"Creature";"Insect Druid"
"5053";11407;"Nullmage Shepherd";"Tap four untapped creatures you control: Destroy target artifact or enchantment.";"2";"4";"{3}{G}";4;1;"G";"Creature";"Elf Shaman"
"5054";11409;"Nulltread Gargantuan";"When Nulltread Gargantuan enters the battlefield, put a creature you control on top of its owner's library.";"5";"6";"{1}{G}{U}";3;2;"G";"Creature";"Beast"
"5055";11410;"Numai Outcast";"Bushido 2 (Whenever this creature blocks or becomes blocked, it gets +2/+2 until end of turn.)
{B}, Pay 5 life: Regenerate Numai Outcast.";"1";"1";"{3}{B}";4;1;"B";"Creature";"Human Samurai"
"5056";11415;"Nurturer Initiate";"Whenever a player casts a green spell, you may pay {1}. If you do, target creature gets +1/+1 until end of turn.";"1";"1";"{G}";1;1;"G";"Creature";"Elf Shaman"
"5057";11416;"Nurturing Licid";"{G}, {T}: Nurturing Licid loses this ability and becomes an Aura enchantment with enchant creature. Attach it to target creature. You may pay {G} to end this effect.
{G}: Regenerate enchanted creature.";"1";"1";"{1}{G}";2;1;"G";"Creature";"Licid"
"5058";11417;"Nut Collector";"At the beginning of your upkeep, you may create a 1/1 green Squirrel creature token.
Threshold — Squirrel creatures get +2/+2 as long as seven or more cards are in your graveyard.";"1";"1";"{5}{G}";6;1;"G";"Creature";"Human Druid"
"5059";11420;"Nylea's Disciple";"When Nylea's Disciple enters the battlefield, you gain life equal to your devotion to green. (Each {G} in the mana costs of permanents you control counts toward your devotion to green.)";"3";"3";"{2}{G}{G}";4;2;"G";"Creature";"Centaur Archer"
"5060";11427;"Nyxathid";"As Nyxathid enters the battlefield, choose an opponent.
Nyxathid gets -1/-1 for each card in the chosen player's hand.";"7";"7";"{1}{B}{B}";3;2;"B";"Creature";"Elemental"
"5061";11435;"Oak Street Innkeeper";"As long as it's not your turn, tapped creatures you control have hexproof.";"1";"2";"{2}{G}";3;1;"G";"Creature";"Elf"
"5062";11436;"Oaken Brawler";"When Oaken Brawler enters the battlefield, clash with an opponent. If you win, put a +1/+1 counter on Oaken Brawler. (Each clashing player reveals the top card of their library, then puts that card on the top or bottom. A player wins if their card had a higher converted mana cost.)";"2";"4";"{3}{W}";4;1;"W";"Creature";"Treefolk Warrior"
"5063";11439;"Oakgnarl Warrior";"Vigilance, trample";"5";"7";"{5}{G}{G}";7;2;"G";"Creature";"Treefolk Warrior"
"5064";11441;"Oashra Cultivator";"{2}{G}, {T}, Sacrifice Oashra Cultivator: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.";"0";"3";"{G}";1;1;"G";"Creature";"Human Druid"
"5065";11443;"Oasis Ritualist";"{T}: Add one mana of any color.
{T}, Exert Oasis Ritualist: Add two mana of any one color. (An exerted creature won't untap during your next untap step.)";"2";"4";"{3}{G}";4;1;"G";"Creature";"Naga Druid"
"5066";11459;"Oathsworn Giant";"Vigilance
Other creatures you control get +0/+2 and have vigilance.";"3";"4";"{4}{W}{W}";6;2;"W";"Creature";"Giant Soldier"
"5067";11460;"Oathsworn Vampire";"Oathsworn Vampire enters the battlefield tapped.
You may cast Oathsworn Vampire from your graveyard if you gained life this turn.";"2";"2";"{1}{B}";2;1;"B";"Creature";"Vampire Knight"
"5068";11465;"Obelisk Spider";"Reach
Whenever Obelisk Spider deals combat damage to a creature, put a -1/-1 counter on that creature.
Whenever you put one or more -1/-1 counters on a creature, each opponent loses 1 life and you gain 1 life.";"1";"4";"{1}{B}{G}";3;2;"B";"Creature";"Spider"
"5069";11482;"Oboro Breezecaller";"Flying
{2}, Return a land you control to its owner's hand: Untap target land.";"1";"1";"{1}{U}";2;1;"U";"Creature";"Moonfolk Wizard"
"5070";11483;"Oboro Envoy";"Flying
{2}, Return a land you control to its owner's hand: Target creature gets -X/-0 until end of turn, where X is the number of cards in your hand.";"1";"3";"{3}{U}";4;1;"U";"Creature";"Moonfolk Wizard"
"5071";11488;"Obsessive Skinner";"When Obsessive Skinner enters the battlefield, put a +1/+1 counter on target creature.
Delirium — At the beginning of each opponent's upkeep, if there are four or more card types among cards in your graveyard, put a +1/+1 counter on target creature.";"1";"1";"{1}{G}";2;1;"G";"Creature";"Human Rogue"
"5072";11490;"Obsidian Acolyte";"Protection from black
{W}: Target creature gains protection from black until end of turn.";"1";"1";"{1}{W}";2;1;"W";"Creature";"Human Cleric"
"5073";11492;"Obsidian Fireheart";"{1}{R}{R}: Put a blaze counter on target land without a blaze counter on it. For as long as that land has a blaze counter on it, it has ""At the beginning of your upkeep, this land deals 1 damage to you."" (The land continues to burn after Obsidian Fireheart has left the battlefield.)";"4";"4";"{1}{R}{R}{R}";4;3;"R";"Creature";"Elemental"
"5074";11493;"Obsidian Giant";"";"4";"4";"{4}{R}";5;1;"R";"Creature";"Giant"
"5075";11494;"Obstinate Baloth";"When Obstinate Baloth enters the battlefield, you gain 4 life.
If a spell or ability an opponent controls causes you to discard Obstinate Baloth, put it onto the battlefield instead of putting it into your graveyard.";"4";"4";"{2}{G}{G}";4;2;"G";"Creature";"Beast"
"5076";11495;"Obstinate Familiar";"If you would draw a card, you may skip that draw instead.";"1";"1";"{R}";1;1;"R";"Creature";"Lizard"
"5077";11498;"Ochran Assassin";"Deathtouch
All creatures able to block Ochran Assassin do so.";"1";"1";"{1}{B}{G}";3;2;"B";"Creature";"Elf Assassin"
"5078";11501;"Oculus";"When Oculus dies, you may draw a card.";"1";"1";"{1}{U}";2;1;"U";"Creature";"Homunculus"
"5079";11504;"Odious Trow";"{1}{B/G}: Regenerate Odious Trow.";"1";"1";"{B/G}";1;1;"B";"Creature";"Troll"
"5080";11507;"Odunos River Trawler";"When Odunos River Trawler enters the battlefield, return target enchantment creature card from your graveyard to your hand.
{W}, Sacrifice Odunos River Trawler: Return target enchantment creature card from your graveyard to your hand.";"2";"2";"{2}{B}";3;1;"B";"Creature";"Zombie"
"5081";11508;"Odylic Wraith";"Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
Whenever Odylic Wraith deals damage to a player, that player discards a card.";"2";"2";"{3}{B}";4;1;"B";"Creature";"Wraith"
"5082";11510;"Offalsnout";"Flash
When Offalsnout leaves the battlefield, exile target card from a graveyard.
Evoke {B} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)";"2";"2";"{2}{B}";3;1;"B";"Creature";"Elemental"
"5083";11512;"Ogre Arsonist";"When Ogre Arsonist enters the battlefield, destroy target land.";"3";"3";"{4}{R}";5;1;"R";"Creature";"Ogre"
"5084";11513;"Ogre Battledriver";"Whenever another creature enters the battlefield under your control, that creature gets +2/+0 and gains haste until end of turn. (It can attack and {T} this turn.)";"3";"3";"{2}{R}{R}";4;2;"R";"Creature";"Ogre Warrior"
"5085";11514;"Ogre Berserker";"Haste";"4";"2";"{4}{R}";5;1;"R";"Creature";"Ogre Berserker"
"5086";11515;"Ogre Enforcer";"Ogre Enforcer can't be destroyed by lethal damage unless lethal damage dealt by a single source is marked on it.";"4";"4";"{3}{R}{R}";5;2;"R";"Creature";"Ogre"
"5087";11516;"Ogre Gatecrasher";"When Ogre Gatecrasher enters the battlefield, destroy target creature with defender.";"3";"3";"{3}{R}";4;1;"R";"Creature";"Ogre Rogue"
"5088";11517;"Ogre Geargrabber";"Whenever Ogre Geargrabber attacks, gain control of target Equipment an opponent controls until end of turn. Attach it to Ogre Geargrabber. When you lose control of that Equipment, unattach it.";"4";"4";"{4}{R}{R}";6;2;"R";"Creature";"Ogre Warrior"
"5089";11518;"Ogre Jailbreaker";"Defender
Ogre Jailbreaker can attack as though it didn't have defender as long as you control a Gate.";"4";"4";"{3}{B}";4;1;"B";"Creature";"Ogre Rogue"
"5090";11519;"Ogre Leadfoot";"Whenever Ogre Leadfoot becomes blocked by an artifact creature, destroy that creature.";"3";"3";"{4}{R}";5;1;"R";"Creature";"Ogre"
"5091";11520;"Ogre Marauder";"Whenever Ogre Marauder attacks, it gains ""Ogre Marauder can't be blocked"" until end of turn unless defending player sacrifices a creature.";"3";"1";"{1}{B}{B}";3;2;"B";"Creature";"Ogre Warrior"
"5092";11521;"Ogre Menial";"Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
{R}: Ogre Menial gets +1/+0 until end of turn.";"0";"4";"{3}{R}";4;1;"R";"Creature";"Ogre"
"5093";11522;"Ogre Painbringer";"When Ogre Painbringer enters the battlefield, it deals 3 damage to each player.";"7";"3";"{3}{R}{R}";5;2;"R";"Creature";"Ogre"
"5094";11523;"Ogre Recluse";"Whenever a player casts a spell, tap Ogre Recluse.";"5";"4";"{3}{R}";4;1;"R";"Creature";"Ogre Warrior"
"5095";11524;"Ogre Resister";"";"4";"3";"{2}{R}{R}";4;2;"R";"Creature";"Ogre"
"5096";11525;"Ogre Savant";"When Ogre Savant enters the battlefield, if {U} was spent to cast Ogre Savant, return target creature to its owner's hand.";"3";"2";"{4}{R}";5;1;"R";"Creature";"Ogre Wizard"
"5097";11526;"Ogre Sentry";"Defender";"3";"3";"{1}{R}";2;1;"R";"Creature";"Ogre Warrior"
"5098";11527;"Ogre Shaman";"{2}, Discard a card at random: Ogre Shaman deals 2 damage to any target.";"3";"3";"{3}{R}{R}";5;2;"R";"Creature";"Ogre Shaman"
"5099";11528;"Ogre Slumlord";"Whenever another nontoken creature dies, you may create a 1/1 black Rat creature token.
Rats you control have deathtouch.";"3";"3";"{3}{B}{B}";5;2;"B";"Creature";"Ogre Rogue"
"5100";11529;"Ogre Taskmaster";"Ogre Taskmaster can't block.";"4";"3";"{3}{R}";4;1;"R";"Creature";"Ogre"
"5101";11530;"Ogre Warrior";"";"3";"3";"{3}{R}";4;1;"R";"Creature";"Ogre Warrior"
"5102";11534;"Ojutai Exemplars";"Whenever you cast a noncreature spell, choose one —
• Tap target creature.
• Ojutai Exemplars gains first strike and lifelink until end of turn.
• Exile Ojutai Exemplars, then return it to the battlefield tapped under its owner's control.";"4";"4";"{2}{W}{W}";4;2;"W";"Creature";"Human Monk"
"5103";11535;"Ojutai Interceptor";"Flying
Megamorph {3}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)";"3";"1";"{3}{U}";4;1;"U";"Creature";"Bird Soldier"
"5104";11543;"Oketra's Attendant";"Flying
Cycling {2} ({2}, Discard this card: Draw a card.)
Embalm {3}{W}{W} ({3}{W}{W}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Bird Soldier with no mana cost. Embalm only as a sorcery.)";"3";"3";"{3}{W}{W}";5;2;"W";"Creature";"Bird Soldier"
"5105";11544;"Oketra's Avenger";"You may exert Oketra's Avenger as it attacks. When you do, prevent all combat damage that would be dealt to it this turn. (An exerted creature won't untap during your next untap step.)";"3";"1";"{1}{W}";2;1;"W";"Creature";"Human Warrior"
"5106";11547;"Okiba-Gang Shinobi";"Ninjutsu {3}{B} ({3}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Whenever Okiba-Gang Shinobi deals combat damage to a player, that player discards two cards.";"3";"2";"{3}{B}{B}";5;2;"B";"Creature";"Rat Ninja"
"5107";11548;"Okina Nightwatch";"As long as you have more cards in hand than each opponent, Okina Nightwatch gets +3/+3.";"4";"3";"{4}{G}";5;1;"G";"Creature";"Human Monk"
"5108";11550;"Okk";"Okk can't attack unless a creature with greater power also attacks.
Okk can't block unless a creature with greater power also blocks.";"4";"4";"{1}{R}";2;1;"R";"Creature";"Goblin"
"5109";11554;"Old Ghastbark";"";"3";"6";"{3}{G/W}{G/W}";5;2;"G";"Creature";"Treefolk Warrior"
"5110";11556;"Old Man of the Sea";"You may choose not to untap Old Man of the Sea during your untap step.
{T}: Gain control of target creature with power less than or equal to Old Man of the Sea's power for as long as Old Man of the Sea remains tapped and that creature's power remains less than or equal to Old Man of the Sea's power.";"2";"3";"{1}{U}{U}";3;2;"U";"Creature";"Djinn"
"5111";11557;"Old-Fashioned Vampire";"Flying
Old-Fashioned Vampire gets +2/+2 and has deathtouch as long as it's dark outdoors.";"3";"3";"{3}{B}{B}";5;2;"B";"Creature";"Vampyre"
"5112";11558;"Old-Growth Dryads";"When Old-Growth Dryads enters the battlefield, each opponent may search their library for a basic land card, put it onto the battlefield tapped, then shuffle their library.";"3";"3";"{G}";1;1;"G";"Creature";"Dryad"
"5113";11560;"Olivia's Bloodsworn";"Flying
Olivia's Bloodsworn can't block.
{R}: Target Vampire gains haste until end of turn.";"2";"1";"{1}{B}";2;1;"B";"Creature";"Vampire Soldier"
"5114";11561;"Olivia's Dragoon";"Discard a card: Olivia's Dragoon gains flying until end of turn.";"2";"2";"{1}{B}";2;1;"B";"Creature";"Vampire Berserker"
"5115";11568;"Omenspeaker";"When Omenspeaker enters the battlefield, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)";"1";"3";"{1}{U}";2;1;"U";"Creature";"Human Wizard"
"5116";11569;"Ominous Sphinx";"Flying
Whenever you cycle or discard a card, target creature an opponent controls gets -2/-0 until end of turn.";"4";"4";"{3}{U}{U}";5;2;"U";"Creature";"Sphinx"
"5117";11572;"Omnibian";"{T}: Target creature becomes a Frog with base power and toughness 3/3 until end of turn.";"3";"3";"{1}{G}{G}{U}";4;3;"G";"Creature";"Frog"
"5118";11574;"Omnispell Adept";"{2}{U}, {T}: You may cast an instant or sorcery card from your hand without paying its mana cost.";"3";"4";"{4}{U}";5;1;"U";"Creature";"Human Wizard"
"5119";11577;"Onakke Ogre";"";"4";"2";"{2}{R}";3;1;"R";"Creature";"Ogre Warrior"
"5120";11579;"Ondu Champion";"Rally — Whenever Ondu Champion or another Ally enters the battlefield under your control, creatures you control gain trample until end of turn.";"4";"3";"{2}{R}{R}";4;2;"R";"Creature";"Minotaur Warrior Ally"
"5121";11580;"Ondu Cleric";"Whenever Ondu Cleric or another Ally enters the battlefield under your control, you may gain life equal to the number of Allies you control.";"1";"1";"{1}{W}";2;1;"W";"Creature";"Kor Cleric Ally"
"5122";11581;"Ondu Giant";"When Ondu Giant enters the battlefield, you may search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.";"2";"4";"{3}{G}";4;1;"G";"Creature";"Giant Druid"
"5123";11582;"Ondu Greathorn";"First strike
Landfall — Whenever a land enters the battlefield under your control, Ondu Greathorn gets +2/+2 until end of turn.";"2";"3";"{3}{W}";4;1;"W";"Creature";"Beast"
"5124";11584;"Ondu War Cleric";"Cohort — {T}, Tap an untapped Ally you control: You gain 2 life.";"2";"2";"{1}{W}";2;1;"W";"Creature";"Human Cleric Ally"
